Nombre común |Nombre Ingles |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo |Nacional/Importado |Objetivo |incidental |Deportiva |Fomento |Cultivada|Cartel |Tríptico |Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva |Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación |Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3 |Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche
Pargo colorado|Colorado Snapper|Lutjanus colorado|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|Cartel |Tríptico  |35-70|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales y rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Ecuador.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pargo mulato|Gray Snapper|Lutjanus griseus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|1|0|0|0|Cartel |Tríptico  |32-89|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en arrecifes, zonas rocosas, estuarios y manglares. Los juveniles viven en las bocas de los ríos. Se alimenta de pequeños peces, crustáceos y moluscos.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible/ Deterioro|Deterioro |Máximo aprovechamiento permisible|||||
Pargo lunarejo|Spotted Rose|Lutjanus guttatus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|Cartel |Tríptico  |35-80|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales y rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pargo caballera||Lutjanus jocu|Peces óseos|Perciformes|Lutjanidae|1|1|0|0|Pargos||1|1|0|0|0||||||||||||||||||||||||||
Pargo rojo ||Lutjanus jordani|Peces óseos|Perciformes|Lutjanidae|0|0|1|0|Pargos||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|sobre pesca|sobre pesca||
Pargo mulato|Pacific Dog Snapper|Lutjanus novemfasciatus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|Cartel |Tríptico  |40-170|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pargo rojo ||Lutjanus purpureus|Peces óseos|Perciformes|Lutjanidae|1|1|0|0|Pargos||1|0|0|0|0||||||||||||||||||||||||||
Pargo azul-dorado|Blue and Gold snapper|Lutjanus viridis|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|Cartel |Tríptico  |15-30|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive asociada a fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pargo rabirrubia||Lutjanus inermis|Peces óseos|Perciformes|Lutjanidae|0|0|1|0|Rubia-Villajaiba||1|0|0|0|0||||||||||||||||||||||||||
Pargo biajaiba||Lutjanus synagris|Peces óseos|Perciformes|Lutjanidae|1|1|0|0|Rubia-Villajaiba||1|1|0|0|0||||||||||||||||||||||||||
Rubia |Yellowtail Snapper|Ocyurus chrysurus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Rubia-Villajaiba|Nacional|1|1|0|0|0|Cartel |Tríptico  |29-86|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en zonas arrecifales. Se alimenta de plancton, animales bentónicos y peces.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible/ Deterioro|Deterioro |Máximo aprovechamiento permisible|||||
Lamparita||Apsilus dentatus|Peces óseos|Perciformes|Lutjanidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Conejo amarillo||Lopholatilus chamaeleonticeps|Peces óseos|Perciformes|Malacanthidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Conejo ||Caulolatilus affinis|Peces óseos|Perciformes|Malacanthidae|0|0|1|0|Piernas||1|0|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Pierna|Ocean Whitefish|Caulolatilus princeps|Actinopterygii|Perciformes|Malacanthidae|0|0|1|0|Piernas|Nacional|1|0|0|0|0|Cartel |Tríptico  |30-100|No selectiva|Chinchorro playero, red agallera, red de arrastre. ||||||Especie marina que vive en los arrecifes y en zonas de fondo rocoso. |Se distribuye en el Pacífico Oriental desde Canadá hasta Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Blanquillo ojo amarillo||Caulolatilus chrysops|Peces óseos|Perciformes|Malacanthidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Blanquillo payaso||Caulolatilus intermedius|Peces óseos|Perciformes|Malacanthidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Blanquillo lucio||Caulolatilus microps|Peces óseos|Perciformes|Malacanthidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Merluza|European hake|Merluccius spp.|Actinopterygii|Gadiformes|Merlucciidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||30-60|No selectiva|Redes de arrastre, redes de cerco danesas y palangres.||||||Especie marina. Vive cerca de los fondos a profundidades que van de los 70 a 1000 metros. Se alimenta principalmente de peces pequeños y calamares.|Se distribuye en la costa atlántica de Europa y al oeste de África del Norte, Mar Mediterráneo y en la costa sur del Mar Negro.|Capturada|Congelado. |España.|||||||||||
Merluza norteña||Merluccius productus|Peces óseos|Gadiformes|Merlucciidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Lija garrapatera||Aluterus scriptus|Peces óseos|Tetraodontiformes|Monocanthidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Lubina|European seabass|Dicentrarchus spp.|Actinopterygii|Perciformes|Moronidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||50-100|No selectiva|Redes de arrastre de fondo, redes de playa, anzuelos y líneas.||||||Especie marina de aguas costeras. Vive en estuarios y en las bocas de los ríos. Se alimenta de peces pequeños e invertebrados.|Se distribuye en el Atlántico Norte. Noruega, Islas Británicas, Mar Mediterráneo, Mar Negro y sur de Senegal. |Capturada|Congelado. |España, Nicaragua|||||||||||
Lisa blanca|White Mullet|Mugil curema|Actinopterygii|Mugiliformes|Mugilidae|1|0|1|0|Lebranchas|Nacional|1|0|0|0|0|Cartel |Tríptico  |24-90|Selectiva|Red agallera para lisa y liseta o lebrancha.||||Temporal fija|(Pacífico) Del 1 de abril al 15 de julio. (Golfo de México) del 1 de diciembre al 28 de febrero.   |Especie marina de aguas poco profundas. Vive en fondos arenosos y en zonas de arrecife. Se alimenta de algas y organismos planctónicos.|Se distribuye en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Desconocida|Desconocida|Sin datos|máximo aprovechamiento|sobre pesca||
Lisa rayada|Striped Mullet|Mugil cephalus|Actinopterygii|Mugiliformes|Mugilidae|1|0|1|0|Lisas|Nacional|1|0|0|0|0|Cartel |Tríptico  |30-90|Selectiva|Red agallera para lisa y liseta o lebrancha.||||Temporal fija|(Pacífico) 1 de noviembre al 31 de diciembre. (Golfo de México) del 1 de diciembre al  28 de febrero.  |Especie marina que vive en las bocas de los ríos y estuarios con fondos arenosos y fangosos. Se alimenta de microalgas, pequeños organismos bentónicos, zooplancton y detritus.| Su distribución es cosmopolita en todos los mares de temperaturas tropicales.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible/ Deterioro|Desconocida|Desconocida|sobre pesca|sobre pesca|colapso||
Lisa hospe||Mugil hospes|Peces óseos|Mugiliformes|Mugilidae|0|0|1|0|Lisas||1|0|0|0|0||||||||||||||||||||||sobre pesca|sobre pesca|colapso||
Chivo||Pseudupeneus grandisquamis|Peces óseos|Perciformes|Mullidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Chivo||Upeneus parvus|Peces óseos|Perciformes|Mullidae|1|0|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Chucho pintado|Spotted Eagle|Aetobatus narinari|Chondrichthyes|Rajiformes|Myliobatidae|1|0|1|0|Rayas y similares |Nacional|1|1|0|0|0|||100-150|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.|Casi amenazada|||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de crustáceos y moluscos.|Se distribuye en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Sin datos|||||
Manta voladora |Giant manta|Manta birostris|Rayas y similares |Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0||||||Vulnerable|Apéndice II||Permanente|Todo el año|Especie marina de aguas poco profundas. Vive cerca de la costa y ligada a arrecifes. Se alimenta de plancton y peces pequeños.|Se distribuye en todos los mares tropicales. |Capturada|||Sin datos|Sin datos|Sin datos|Sin datos|Sin datos|Sin datos|||||
Manta del Golfo||Mobula hypostoma|Rayas y similares |Rajiformes|Myliobatidae|1|1|0|0|Rayas y similares ||1|0|0|0|0|||||||||Permanente|Todo el año||||||||||||||||
Manta arpón||Mobula japanica|Rayas y similares |Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0||||||Casi amenazada|||Permanente|Todo el año||||||||||||||||
Manta chica ||Mobula munkiana|Rayas y similares |Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0||||||Casi amenazada|||Permanente|Todo el año||||||||||||||||
Manta cornuda ||Mobula tarapacana|Rayas y similares |Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0|||||||||Permanente|Todo el año||||||||||||||||
Manta cubana ||Mobula thurstoni|Rayas y similares |Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0||||||Casi amenazada|||Permanente|Todo el año||||||||||||||||
||Mobula lucasana|||||||||||||||||||||||Permanente|Todo el año||||||||||||||||
Gavilan ||Myliobatis californica |Rayas y similares |Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0|||||||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Pejechucho||Myliobatis goodei|Rayas y similares |Rajiformes|Myliobatidae|1|1|0|0|Rayas y similares ||1|0|0|0|0||||||||||||||||||||||||||
Raya águila||Myliobatis longirostris |Rayas y similares |Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0||||||Casi amenazada|||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Manta cubanita||Rhinoptera bonasus|Rayas y similares |Rajiformes|Myliobatidae|1|0|0|0|Rayas y similares ||1|0|0|0|0||||||Casi amenazada||||||||||||||||||||
Manta común||Rhinoptera brasiliensis|Rayas y similares |Rajiformes|Myliobatidae|1|0|0|0|Rayas y similares ||1|0|0|0|0||||||En peligro||||||||||||||||||||
Tecolote|Golden Cownose Ray|Rhinoptera steindachneri|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Rayas y similares |Nacional|1|0|0|0|0|Cartel |Tríptico  |38-90|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.|Casi amenazada|||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros y poco profundos. Vive en fondos arenosos y cerca de los arrecifes rocosos y coralinos. Se alimenta de moluscos y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Raya eléctrica||Narcine brasiliensis|Rayas y similares |Torpediniformes|Narcinidae|1|0|0|0|Rayas y similares ||1|0|0|0|0||||||||||||||||||||||||||
Guitarra electrica ||Narcine entemedor|Rayas y similares |Torpediniformes|Narcinidae|0|0|1|0|Rayas y similares ||1|0|0|0|0|||||||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Papagallo|Roosterfish|Nematistius pectoralis|Peces óseos|Perciformes|Nematistiidae|0|0|1|0|Papagallos|Nacional|0|0|1|0|0|||60-160|Selectiva|Pesca con caña. ||||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos costeros. Vive en zonas arenosas y cerca de las playas. Se alimenta de peces. |Se distribuye en el Pacífico Oriental, desde el sur de California hasta Perú.|Capturada|Se utiliza la carne. ||||||||||||
Austromerluza negra|Patagonian Toothfish|Dissostichus eleginoides|Actinopterygii|Perciformes|Nototheniidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||70-200|No selectiva|Redes de arrastre de fondo.||||||Especie marina que vive en profundidades que van de los 70 a 1,500 metros. Se alimenta de peces y cefalópodos.  |Se distribuye en el mar Antártico.|Capturada|Congelado, filetes.|Estados Unidos.|||||||||||
Lairón||Ophichthus rex|Peces óseos|Anguilliformes|Ophichthidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Lengua ||Brotula barbata|Peces óseos|Ophidiiformes|Ophidiidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Lengua||Brotula clarki|Peces óseos|Ophidiiformes|Ophidiidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Torito||Acanthostracion quadricornis|Peces óseos|Tetraodontiformes|Ostraciidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Basa/ oriental |Striped Catfish|Pangasius hypophthalmus|Peces óseos|Siluriformes|Pangasiidae|0|0|0|1|Peces importados |Importado |0|0|0|0|1||||||En peligro|||||Especie de agua dulce que vive en ríos. Se alimenta de algas, zooplancton e insectos. |Se distribuye en Viet Nam y Tailandia.|Cultivada|||||||||||||
Lenguado alón ||Citharichthys xanthostigma|Peces óseos|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||0|1|0|0|0||||||||||||||||||||||||||
Lengado bocón|Bigmouth Sole|Hippoglossina stomata|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados|Nacional|1|0|0|0|0|Cartel |Tríptico  |35-40|No selectiva|Redes de arrastre.||||||Especie marina de hábitos bentónicos y costeros. Vive enterrada en la arena. Se alimenta de pequeños crustáceos que viven en la arena.|Se distribuye en el Pacífico Oriental, desde California hasta el Golfo de California. |Capturada|Se utiliza la carne. ||||||||máximo aprovechamiento|colapso|sobre pesca ||
Lenguado cuatro ojos||Hippoglossina tetropthalmus|Peces óseos|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca ||
Lenguado de Cortés||Paralichthys aestuarius|Peces óseos|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca ||
Lenguado californiano||Paralichthys californicus|Peces óseos|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca ||
Lenguado huarache||Paralichthys woolmani|Peces óseos|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca ||
Lenguado arenoso ||Syacium gunteri|Peces óseos|Pleuronectiformes|Paralichthydae|1|0|0|0|Lenguados||0|1|0|0|0||||||||||||||||||||||||||
Lenguado cola de abanico|Fantail Sole|Xystreurys liolepis|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados|Nacional|1|0|0|0|0|Cartel |Tríptico  |20-63|No selectiva|Redes de arrastre.||||||Especie marina costera. Vive en fondos arenosos y fangosos. Se alimente de crustáceos.|Se distribuye en el Pacífico Oriental, desde California hasta el Golfo de California.|Capturada|Se utiliza la carne. ||||||||máximo aprovechamiento|colapso|sobre pesca ||
Lenguado panza blanca||Paralichthys albigutta|Peces óseos|Pleuronectiformes|Paralichthydae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Merluza||Urophycis spp.|Peces óseos|Gadiformes|Phycidae|0|0|0|1|Peces importados ||0|0|0|0|0||||||||||||||Congelado. |Canada, Peru, España.|||||||||||
Lenguado tres ojos|Threespot Sand Flounder|Ancylopsetta dendritica|Peces óseos|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||0|1|0|0|0||||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca ||
Fletán del Pacífico|Fletán |Hippoglossus stenolepis|Actinopterygii|Pleuronectiformes|Pleuronectidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||140-250|No selectiva|Pesca de arrastre y pesca con palangre demersal. |En peligro crítico|||||Especie de agua salada. Vive en aguas profundas con fondos arenosos y fangosos. Se alimenta de peces moluscos y crustáceos. |Se distribuye en el Pacífico Norte, desde Japón, Mar de Bering, Alaska y California. |Capturada|Fresco. ||||||||||||
Fletán negro|Fletán Negro|Reinhardtius hippoglossoides|Actinopterygii|Pleuronectiformes|Pleuronectidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||50-80|No selectiva|Pesca de arrastre y pesca con palangre demersal. ||||||Especie de agua salada que vive a profundidades de 500 a 1000 metros en fondos blandos y arenosos. Se alimenta de peces. |Se distribuye en ambos océanos, desde Inglaterra, Noruega, Islandia y Groenlandia en el Atlántico oriental. En la parte del Pacífico se distribuye desde Japón hasta las costas del California. |Capturada|Fresco. ||||||||||||
Lenguado diamante||Hypsopsetta guttulata|Peces óseos|Pleuronectiformes|Pleuronectidae|0|0|1|0|Lenguados||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca ||
Lengado resbaloso||Microstomus pacificus|Peces óseos|Pleuronectiformes|Pleuronectidae|0|0|1|0|Lenguados||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca ||
Barbudo de seis barbas||Polydactylus approximans|Peces óseos|Perciformes|Polynemidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Ratón ||Polydactylus octonemus|Peces óseos|Perciformes|Polynemidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Pescara||Stereolepis gigas|Peces óseos|Perciformes|Polyprionidae|0|0|1|0|Otros||0|1|0|0|0||||||Casi amenazada||||||||||||||||||||
Gallineta café||Pomacanthus arcuatus|Peces óseos|Perciformes|Pomacanthidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Gallineta negra||Pomacanthus paru |Peces óseos|Perciformes|Pomacanthidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Ojón||Priacanthus arenatus|Peces óseos|Perciformes|Priacanthidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Cobia|Cobia|Rachycentrum canadum|Peces óseos|Perciformes|Rachycentridae|0|0|0|1|Peces importados ||0|0|0|0|1|||||||||||Especie marina pelágica. Se alimenta de peces, calamaras, camarones y cangrejos. |Se distribuye casi en todos los mares acepto el Pacífico Central y Oriental.|Cultivada|Congelado. |Estados Unidos, Canada.|||||||||||
Cobia||Rachycentrum canadum|Peces óseos|Perciformes|Rachycentridae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Raya de california ||Raja inornata|Rayas y similares |Rajiformes|Rajidae|0|0|1|0|Rayas y similares ||0|1|0|0|0|||||||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Raya||Raja texana|Rayas y similares |Rajiformes|Rajidae|1|0|0|0|Rayas y similares ||1|0|0|0|0||||||||||||||||||||||||||
Raya chillona ||Raja velezi|Rayas y similares |Rajiformes|Rajidae|0|0|1|0|Rayas y similares ||1|0|0|0|0|||||||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Payaso pinto||Rhinobatos glaucostigma|Rayas y similares |Rajiformes|Rhinobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0|||||||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Guitarra viola||Rhinobatos productus|Rayas y similares |Rajiformes|Rhinobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0||||||Casi amenazada|||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Pez diablo||Rhinobatus lentiginosus|Rayas y similares |Rajiformes|Rhinobatidae|1|0|0|0|Rayas y similares ||1|0|0|0|0||||||||||||||||||||||||||
Guitarra rayada ||Zapterix exasperata|Rayas y similares |Rajiformes|Rhinobatidae|0|0|1|0|Rayas y similares ||1|0|0|0|0|||||||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.||||||||||||||||
Salmón del Danubio |Huchen |Hucho hucho|Peces óseos|Salmoniformes|Salmonidae|0|0|0|1|Peces importados |Importado |0|0|0|0|1||||No selectiva||En peligro|||||Especie de agua dulce. Vive en los causes de los ríos, en especial el Danubio. Se alimenta de peces, amfibios y pequeños reptiles. |Se distribuye en Europa, principalmente en el Río Danubio |Capturada y cultivada|Fresco, congelado y ahumado. ||||||||||||
Salmón rosado|Pink Salmo|Oncorhynchus gorbuscha |Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||40-75|No selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive en zonas costeras y en los ríos en épocas de desove. Se alimenta de calamares, peces y plancton. |Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canadá y Norte de Japón. |Capturada|Fresco, ahumado.||||||||||||
Salmón chum|Chum Salmo|Oncorhynchus keta |Peces óseos|Salmoniformes|Salmonidae|0|0|0|1|Peces importados ||0|0|0|0|0||||No selectiva|||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en epocas de desove. |Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canada y Norte de Japón. |Capturada|Fresco, ahumado.||||||||||||
Salmón coho|Coho Salmo|Oncorhynchus kisutch|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||50-90|No selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en épocas de desove. |Se distribuye en el Pacífico norte,  norte de Baja California, Alaska, Canadá y Norte de Japón. |Capturada|Fresco, ahumado.||||||||||||
Salmón japones|Masu Salmon|Oncorhynchus masou|Peces óseos|Salmoniformes|Salmonidae|0|0|0|1|Peces importados ||0|0|0|0|0||||No selectiva|||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en epocas de desove. |Se distribuye en las costas de Japó. ||Fresco, ahumado.||||||||||||
Salmón rojo|Sokeye Salmo|Oncorhynchus nerka |Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||60-85|No selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive en zonas costeras y en los ríos en épocas de desove. Se alimenta de calamares, peces y plancton. |Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canadá y Norte de Japón. |Capturada|Fresco, ahumado.||||||||||||
Salmón real|Chinook Salmo|Oncorhynchus tschawytscha|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||40-70|No selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en épocas de desove. |Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canadá y Norte de Japón. |Capturada|Fresco, ahumado.||||||||||||
Salmón del Atlántico|Atlantic Salmon |Salmo salar|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||40-150|No selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en épocas de desove. |Se distribuye en el Atlántico Norte, en las costas de Europa, Canadá y América del norte. |Capturada|Fresco, ahumado.||||||||||||
Trucha|Brown trout|Salmo trutta|Peces óseos|Salmoniformes|Salmonidae|0|0|0|1|Peces importados ||0|0|0|0|0||||||||||||||Congelado. |Estados Unidos.|||||||||||
|||Peces óseos|Salmoniformes|Salmonidae|0|0|0|1|Peces importados ||0|0|0|0|0||||||||||||||||||||||||||
Berrugata real ||Menticirrhus nasus|Peces óseos|Perciformes|Sciaenidae|0|0|1|0|Berrugatas||1|0|0|0|0||||||||||||||||||||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento||
Berrugata gurrubato|Panama Kingcroaker|Menticirrhus panamensis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas|Nacional|1|0|0|0|0|Cartel |Tríptico  |30-75|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina. Vive en la zona costera cerca de manglares y estuarios. Se alimenta de pequeños crustáceos, gusanos poliquetos y moluscos.|Se distribuye en el Pacífico Oriental, desde Baja California hasta Chile. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento||
