Nombre común |Nombre Ingles |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo |Nacional/Importado |Objetivo |incidental |Deportiva |Fomento |Cultivada|Cartel |Tríptico |Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva |Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación |Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3 |Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche
Robalo constantino|Tarpon Snook|Centropomus pectinatus |Actinopterygii|Perciformes|Centropomidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|||40-55|No selectiva|Redes de enmalle.||||||Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne. |||||Sin datos|Sin datos|Sin datos|||||
Sabalote||Chanos chanos|Peces óseos|Gonorynchiformes|Chanidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Aranque del Atlántico |Atlantic Herring|Clupea harengus|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||20-25|No Selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo. ||||||Especie marina  de hábitos costeros. Se alimenta de crustáceos planctónicos, pequeños peces e invertebrados.|Se distribuye en el Atlántico Norte. |Capturada|Congelado. |Estados Unidos, Canada.|||||||||||
Arenque del Pacífico|Pacific Herring|Clupea pallasii|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||20-35|No Selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo. ||||||Especie marina  de hábitos costeros. Se alimenta de crustáceos planctónicos, pequeños peces e invertebrados.|Se distribuye en el Pacífico Norte|Capturada|Congelado. |Estados Unidos, Canada.|||||||||||
Sardina|True Sardina |Sardina pilchardus|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||20-25|No selectiva|Redes de enmalle, redes de cerco de playa y pesca de arrastre de fondo. ||||||Especie marina de hábitos pelágicos y oceánicos. Se alimenta principalmente de crustáceos planctónicos. |Se distribuye en el Atlántico nororiental, Mar Mediterráneo y Mar Negro. |Capturada|Fresco, congelado. ||||||||||||
Sardina |European Sprat|Sprattus sprattus|Actinopterygii|Clupeiformes|Clupeidae|0|0|0|1|Peces importados |Importado |0|0|0|0|0|||20-25|No selectiva|Redes de arrastre y redes de deriva. ||||||Especie marina de hábitos pelágicos, a veces se encuentra en estuarios. Se alimenta principalmente de crustáceos planctónicos. |Se distribuye en el Atlántico nororiental, Mar Mediterráneo y Mar Negro. |Capturada|Fresco, congelado. ||||||||||||
Sardina de escama fina ||Brevoortia gunteri|Peces óseos|Clupeiformes|Clupeidae|1|1|0|0|Sardinas||1|0|0|0|0||||||||||||||||||||||||||
Sardina lacha||Brevoortia patronus|Peces óseos|Clupeiformes|Clupeidae|1|1|0|0|Sardinas||1|0|0|0|0||||||||||||||||||||||||||
Sardina carapachona||Harengula clupeola|Peces óseos|Clupeiformes|Clupeidae|1|1|0|0|Sardinas||1|0|0|0|0||||||||||||||||||||||||||
Sardina vivita escamuda|Scaled Sardine|Harengula jaguana|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas|Nacional|1|0|0|0|0|Cartel |Tríptico  |12-21 cm |No selectiva|Chinchorro playero, red agallera para escama pelágica, red agallera para escama de fondo.||||||Especie marina y costera, vive en fondos de arena y fango. Se alimenta de pequeños invertebrados.|Se distribuye en el Atlántico occidental, desde New Jersey a Brasil.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Sardine crinuda azul||Opisthonema bulleri|Peces óseos|Clupeiformes|Clupeidae|0|0|1|0|Sardinas||1|0|0|0|0||||||||||||||||||||||||||
Sardina crinuda||Opisthonema libertate|Peces óseos|Clupeiformes|Clupeidae|0|0|1|0|Sardinas||1|0|0|0|0||||||||||||||||||||||||||
