Nombre común|Nombre Ingles|Nombre científico|Clase|Orden|Familia|Golfo de México|Mar Caribe|Pacífico|Fuera del país|Grupo|Nacional/Importado|Objetivo|incidental|Deportiva|Fomento|Cultivada|Cartel|Tríptico|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades|Distribución|Cultivada / capturada|Comercio|País de importación|Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California|Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec|Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen
Salmón coho|Coho Salmo|Oncorhynchus kisutch|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||50-90|No Selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en épocas de desove.|Se distribuye en el Pacífico norte,  norte de Baja California, Alaska, Canadá y Norte de Japón.|Capturada|Fresco, ahumado.|||||||||||||
Salmón japones|Masu Salmon|Oncorhynchus masou|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados||0|0|0|0|0|3|||No selectiva|||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en epocas de desove.|Se distribuye en las costas de Japó.||Fresco, ahumado.|||||||||||||
Salmón rojo|Sokeye Salmo|Oncorhynchus nerka|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||60-85|No Selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive en zonas costeras y en los ríos en épocas de desove. Se alimenta de calamares, peces y plancton.|Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canadá y Norte de Japón.|Capturada|Fresco, ahumado.|||||||||||||
Salmón real|Chinook Salmo|Oncorhynchus tschawytscha|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||40-70|No Selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en épocas de desove.|Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canadá y Norte de Japón.|Capturada|Fresco, ahumado.|||||||||||||
Salmón del Atlántico|Atlantic Salmon|Salmo salar|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||40-150|No Selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en épocas de desove.|Se distribuye en el Atlántico Norte, en las costas de Europa, Canadá y América del norte.|Capturada|Fresco, ahumado.|||||||||||||
Trucha|Brown trout|Salmo trutta|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados||0|0|0|0|0|3|||||||||||||Congelado.|Estados Unidos.||||||||||||
Berrugata real||Menticirrhus nasus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||
Berrugata gurrubato|Panama Kingcroaker|Menticirrhus panamensis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas|Nacional|1|0|0|0|0|1|Tríptico|30-75|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina. Vive en la zona costera cerca de manglares y estuarios. Se alimenta de pequeños crustáceos, gusanos poliquetos y moluscos.|Se distribuye en el Pacífico Oriental, desde Baja California hasta Chile.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||MenticirrhusPanamensis.png
Berrugata californiana|California Corbina|Menticirrhus undulatus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas|Nacional|1|0|0|0|0|1|Tríptico|32-71|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina. Vive en la zona costera preferentemente con fondos arenosos. Se alimenta de cangrejos, otros pequeños crustáceos y gusanos poliquetos.|Se distribuye en el Pacífico Oriental, desde California hasta Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||MenticirrhusUndulatus.png
Berrugata aleta amarilla|Yellowfin Croaker|Umbrina roncador|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas|Nacional|1|0|0|0|0|1|Tríptico|35-65|No selectiva|Chinchorro playero, red agallera, red de cerco.||||||Especie marina. Vive en zonas de baja profundidad principalmente fondos arenosos. Se alimenta de peces, crustáceos, poliquetos y moluscos.|Se distribuye en el Pacífico Oriental, desde el Sur de California hasta el Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Sin datos|Sin datos||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||UmbrinaRoncador.png
Berrugata roncadora||Umbrina xanti|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Berrugatas||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|máximo aprovechamiento|máximo aprovechamiento|||
Corvina blanca|White Seabass|Atractoscion nobilis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|Tríptico|80-160|No selectiva|Línea de mano para peces pelágicos y demersales.||||||Especie marina que vive asociada a fondos rocosos y a bosques de macroalgas. Se alimenta de peces y cefalópodos.|Se distribuye en el Pacífico Oriental, desde Alaska hasta el Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Sin datos|Sin datos||||sobre pesca|sobre pesca|sobre pesca|||AtractoscionNobilis.png
Corvineta armada||Bairdiella armata|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas||1|0|0|0|0|3|||||||||||||||||||||sobre pesca|sobre pesca|sobre pesca|||
Corvineta ronco||Bairdiella icistia|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas||1|0|0|0|0|3|||||||||||||||||||||sobre pesca|sobre pesca|sobre pesca|||
Corvina chiapaneca||Cynoscion albus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas||1|0|0|0|0|3|||||||||||||||||||||sobre pesca|sobre pesca|sobre pesca|||
Corvina pinta|Spotted Seatrout|Cynoscion nebulosus|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Corvinas|Nacional|0|1|0|0|0|1|Tríptico|35-100|No selectiva|Chinchorro playero, red agallera para escama pelágica.||||||Especie marina que vive en estuarios y bocas de ríos, en aguas poco profundas y costeras con fondos de arena y praderas de pastos marinos. Se alimenta de crustáceos y peces.|Se distribuye en el Atlántico occidental, desde Nueva York hasta el Golfo de México.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Desconocida||||||CynoscionNebulosus.png
Corvina golfina|Gulf Corvina|Cynoscion othonopterus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|Tríptico|65-90|Selectiva|Línea de mano para peces pelágicos y demersales.|Vulnerable|||Temporal fija|1 de mayo al 31 de agosto|Especie marina que vive cerca de la costa. Los juveniles y los adultos apunto de desovar se encuentran cerca de los ríos.|Especie endémica del Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Sin datos|Sin datos||||sobre pesca|sobre pesca|sobre pesca|||CynoscionOthonopterus.png
Corvina azul||Cynoscion parvipinnis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas||1|0|0|0|0|3|||||||||||||||||||||sobre pesca|sobre pesca|sobre pesca|||
Corvina rayada|Striped Corvina|Cynoscion reticulatus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|Tríptico|36-90|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en zonas costeras y particularmente en estuarios con concentraciones altamente salinas. Se alimenta de peces, camarones y otros crustáceos.|Se distribuye en el Pacífico Oriental, desde el Golfo de California hasta Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable||||sobre pesca|sobre pesca|sobre pesca|||CynoscionReticulatus.png
Corvina boca anaranjada|Orangemouth Corvina|Cynoscion xanthulus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas|Nacional|1|0|0|0|0|1|Tríptico|40-130|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en zonas costeras y lagunas marinas a profundidades de 50 metros preferentemente con fondos fangosos y arenosos. Se alimenta peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California Sur, Golfo de California, hasta Chiapas.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable|Máximo aprovechamiento sustentable||||sobre pesca|sobre pesca|sobre pesca|||CynoscionXanthulus.png
Corvina||Sciaenops ocellatus|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Corvinas||0|1|0|0|0|3||||||||||||||||||||||||||
Boquinete chato|Silver Drum|Larimus argenteus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Corvinas||0|1|0|0|0|3|||||||||||||||||||||sobre pesca|sobre pesca|sobre pesca|||
Postá||Bairdiella chrysoura|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Ronco rayado||Bairdiella ronchus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Trucha blanca||Cynoscion arenarius|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Trucha blanca||Cynoscion nothus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Ronco listado||Larimus fasciatus|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Croca||Leiostomus xanthurus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Chano sureño||Micropogonias altipinnis|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Otros||1|0|0|0|0|3||||||||||||||||||||||||||
Chano norteño||Micropogonias megalops|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Otros||1|0|0|0|0|3||||||||||||||||||||||||||
Gurrubata||Micropogonias undulatus|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Corvineta bizca||Ophioscion strabo|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Tambor||Pogonias cromis|Actinopterygii|Perciformes|Sciaenidae|1|0|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Corvina enana||Cynoscion nannus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Ratón del Golfo||Menticirrhus americanus|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Berrugato fino||Menticirrhus elongatus|Actinopterygii|Perciformes|Sciaenidae|0|0|1|0|||0|1|0|1|0|3||||||||||||||||||||||||||
Ratón||Menticirrhus littoralis|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Berugato||Menticirrhus saxatilis|Actinopterygii|Perciformes|Sciaenidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Totoaba|Totoaba|Totoaba macdonaldi|Actinopterygii|Perciformes|Sciaenidae|0|0|0|0|Totoaba|Nacional|0|0|0|0|0|3|||||En peligro crítico|Apéndice I|En peligro crítico|Permanente|Todo el año|Especie marina de hábitos costeros. Vive en costas rocosas y en las bocas de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Golfo de California.|Capturada|Prohibido||Deterioro|Deterioro|||||sin datos|||||
Bonito del Pacífico Oriental||Sarda chiliensis|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Atunes||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|máximo aprovechamiento|colapso|||
Atún aleta amarilla|Yellowfin Tuna|Thunnus albacares|Actinopterygii|Perciformes|Scombridae|1|1|1|1|Atunes|Nacional e importado|1|0|0|0|0|1|Tríptico|78-239|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana PROY- NOM-001-SAG/PESC-2013),  pesca con vara, palangre para atún y línea de mano.|Casi amenazada|||Temporal fija|Actualmente no está establecida una veda.|Especie marina de hábitos oceánicos. Se alimenta de peces, crustáceos y calamares.|Se distribute en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Desconocida|Sobre pesca|máximo aprovechamiento|máximo aprovechamiento|||ThunnusAlbacares.png
Patudo|Bigeye Tuna|Thunnus obesus|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Atunes|Nacional e importado|1|0|0|0|0|3||130-200|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana PROY- NOM-001-SAG/PESC-2013),  pesca con vara, palangre para atún y línea de mano.|Vulnerable|||Temporal fija|Actualmente no está establecida una veda.|Especie marina de hábitos pelágicos y oceánicos. Se alimenta de peces y crustáceos.|Se distribuye casi en todos los mares.|Capturada|Fresco, congelado.|||||||||||||
Atún aleta azul|Bluefin Tuna|Thunnus orientalis|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Atunes|Nacional|1|0|0|0|0|1|Tríptico|97-300|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana PROY- NOM-001-SAG/PESC-2013),  pesca con vara, palangre para atún y línea de mano.||||Temporal fija|Actualmente no está establecida una veda.|Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos.|Se distribuye en el Pacífico Oriental y parte de Indo Pacífico, costas de Japón, Indonesia, Canadá, Estados Unidos, Baja California y Baja California Sur.|Capturada|Se utiliza la carne.||Máximo aprovechamiento sustentable|Desconocida|||||Sobre pesca|máximo aprovechamiento|máximo aprovechamiento|||ThunnusOrientalis.png
Atún aleta azul|Bluefin Tuna|Thunnus thynnus|Actinopterygii|Perciformes|Scombridae|1|1|1|0|Atunes|Nacional e importado|0|1|0|0|0|3||150-300|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana PROY- NOM-001-SAG/PESC-2013),  pesca con vara, palangre para atún y línea de mano.|En peligro|||Temporal fija|Actualmente no está establecida una veda.|Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos.|Se distribute en todo el Atlántico y Pacífico.|Capturada|Fresco, congelado.||Máximo aprovechamiento sustentable||||||Sobre pesca|máximo aprovechamiento|máximo aprovechamiento|||
Barrilete negro|Black Skipjack|Euthynnus lineatus|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Barriletes|Nacional|1|1|0|0|0|1|Tríptico|60-84|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana PROY- NOM-001-SAG/PESC-2013),  pesca con vara, palangre para atún y línea de mano.||||||Especie marina de hábitos pelágicos y oceánicos. Se alimenta principalmente de peces.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Con potencial de desarrollo|Con potencial de desarrollo|Con potencial de desarrollo||||máximo aprovechamiento|colapso|sobre pesca|||EuthynnusLineatus.png
Barrilete listado|Skipjack Tuna|Katsuwonus pelamis|Actinopterygii|Perciformes|Scombridae|0|0|1|1|Barriletes|Nacional e importado|1|1|0|0|0|1|Tríptico|80-110|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana PROY- NOM-001-SAG/PESC-2013),  pesca con vara, palangre para atún y línea de mano.||||Temporal fija|Actualmente no está establecida una veda.|Especie marina de hábitos pelágicos y oceánicos. Se alimenta de peces y crustáceos.|Se distribuye casi en todos los mares.|Capturada|Fresco, congelado.||Desconocida|Desconocida|Desconocida||||máximo aprovechamiento|colapso|sobre pesca|||KatsuwonusPelami.png
Bonito||Euthynnus alleteratus|Actinopterygii|Perciformes|Scombridae|1|1|0|0|Bonitos||0|1|0|0|0|3||||||||||||||||||||||||||
Macarela azul|Blue Mackerel|Scomber australasicus|Actinopterygii|Perciformes|Scombridae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||30-50|No Selectiva|Curricán, Redes de enmalle, trampas, redes de playa y redes de arrastre pelágico.||||||Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos.|Se distribuye en el Indo Pacífico.|Capturada|Congelado.|Estados Unidos, Canada.||||||||||||
Estornido|Chub Mackerel|Scomber japonicus|Actinopterygii|Perciformes|Scombridae|0|0|0|1|Barriletes|Nacional e importado|0|0|0|0|0|3||30-50|No Selectiva|Curricán, Redes de enmalle, trampas, redes de playa y redes de arrastre pelágico.||||||Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos.|Se distribuye casi en todos los mares.|Capturada|Congelado.|Estados Unidos, Canada.|||||||sobre pesca|sin datos|sin datos|||
Caballa del Atlántico|Atlantic Mackerel|Scomber scombrus|Actinopterygii|Perciformes|Scombridae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||30-50|No Selectiva|Curricán, Redes de enmalle, trampas, redes de playa y redes de arrastre pelágico.||||||Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos.|Se distribuye en el Atlántico Norte.|Capturada|Congelado.|Estados Unidos, Canada.||||||||||||
Macarela||Scomber japonicus|Actinopterygii|Perciformes|Scombridae|1|1|1|0|Macarela||1|1|0|0|0|3||||||||||||||||||||||||||
Melvera|Bullet Mackerel|Auxis rochei rochei|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Bonitos|Nacional|0|1|0|0|0|1|Tríptico|15-50|No selectiva|Red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Desconocida|Desconocida|Desconocida||||máximo aprovechamiento|máximo aprovechamiento|colapso|||
Melva||Auxis thazard rochei|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Bonito del Atlántico||Sarda sarda|Actinopterygii|Perciformes|Scombridae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Peto/ Carito|King Mackerel|Scomberomorus cavalla|Actinopterygii|Perciformes|Scombridae|1|1|0|0|Petos|Nacional|1|0|0|0|0|1|Tríptico|50-150|Selectiva|Palangre para atún.||||||Especie marina asociada a zonas arrecifales. Se alimenta de peces, crustáceos y moluscos.|Se distribuye en el Atlántico occidental, desde Massachusetts, hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||ScomberomorusCavalla.png
Sierra del Golfo de Cortés|Gulf Sierra|Scomberomorus concolor|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Sierras|Nacional|1|0|0|0|0|1|Tríptico|27-77|No selectiva|Red agallera para escama de fondo, red agallera para esteros y línea de costa.|Vulnerable|||||Especie marina de hábitos pelágicos. Vive en la columna de agua. Se alimenta de peces y crustáceos de tamaño pequeño.|Tiene una distribución muy restringida en el Pacífico Oriental, costas de California y dentro del Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Desconocida|Desconocida|||||||||ScomberomorusConcolor.png
Sierra común|Spanish Mackerel|Scomberomorus maculatus|Actinopterygii|Perciformes|Scombridae|1|1|0|0|Sierras|Nacional|1|1|0|0|0|1|Tríptico|25-90|No selectiva|Red agallera para escama pelágica.||||||Especie marina de aguas poco profundas. Se alimenta de peces pequeños y en pocas cantidades de pequeños crustáceos y cefalópodos.|Se distribuye en el Atlántico occidental, desde Canadá hasta el Caribe.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||ScomberomorusMaculatus.png
Sierra del Pacífico|Pacific Sierra|Scomberomorus sierra|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Sierras|Nacional|1|0|0|0|0|1|Tríptico|26-100|No selectiva|Red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros y pelágicos. Vive en la columna de agua. Se alimenta de peces.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Con potencial de desarrollo|Con potencial de desarrollo|||||||||ScomberomorusSierra.png
Peto||Acanthocybium solandri|Actinopterygii|Perciformes|Scombridae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Barrilete de diente||Sarda orientalis|Actinopterygii|Perciformes|Scombridae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Sierra||Scomberomorus regalis|Actinopterygii|Perciformes|Scombridae|1|1|0|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Albacora|Albacore|Thunnus alalunga|Actinopterygii|Perciformes|Scombridae|0|0|1|0|Atunes|Nacional e importado|1|0|0|0|0|3||55-120|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana PROY- NOM-001-SAG/PESC-2013),  pesca con vara, palangre para atún y línea de mano.|Casi amenazada|||||Especie marina pelágica y oceánica. Se alimenta de peces, crustáceos y cefalópodos.|Se distribuye casi en todos los mares.|Capturada|Congelado.||Desconocida|Desconocida|Desconocida||||Sobre pesca|máximo aprovechamiento|máximo aprovechamiento|||
Atún aleta negra||Thunnus atlanticus|Actinopterygii|Perciformes|Scombridae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Lapón californiano||Scorpaena guttata|Actinopterygii|Scorpaeniformes|Scorpaenidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Lapón||Scorpaena mystes|Actinopterygii|Scorpaeniformes|Scorpaenidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Lapón||Scorpaena plumieri|Actinopterygii|Scorpaeniformes|Scorpaenidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Rascacio||Neomerinthe hemingwayi|Actinopterygii|Perciformes|Scorpaenidae|1|1|0|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Lopón lomo manchado||Pontinus vaughani|Actinopterygii|Scorpaeniformes|Scorpaenidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote sapo||Scorpaena russula|Actinopterygii|Scorpaeniformes|Scorpaenidae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Loponcito arcoiris||Scorpaenodes xyris|Actinopterygii|Scorpaeniformes|Scorpaenidae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Rocote sargacero||Sebastes atrovirens|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Rocote bocaccio||Sebastes paucispinis|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Rocote cobrizo||Sebastes caurinus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote verde||Sebastes chlorostictus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote mulato||Sebastes chrysomelas|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote estrellado||Sebastes constellatus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote reyna||Sebastes elongatus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote espada||Sebastes ensifer|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote viuda||Sebastes entomelas|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote pimiento||Sebastes goodei|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote a cuadros||Sebastes hopkinsi|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote vaquilla||Sebastes levis|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote mexicano||Sebastes macdonaldi|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote negro||Sebastes melanops|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote semáforo||Sebastes melanosema|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote agalla negra||Sebastes melanostomus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote bermejo||Sebastes miniatus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote azul||Sebastes mystinus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote olivo||Sebastes rastrelliger|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote rosado||Sebastes rosaceus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote motas verdes||Sebastes rosenblatti|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Rocote bandera||Sebastes rubrivinctus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote rojo||Sebastes rufus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||1|0|0|0|0|3||||||||||||||||||||||||||
Rocote inspector||Sebastes semicinctus|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Rocote falsa cabrilla||Sebastes serranoides|Actinopterygii|Scorpaeniformes|Sebastidae|0|0|1|0|||0|1|0|0|0|3||||||||||||||||||||||||||
